sku,merchant,model_key,title,brand,category,price,currency,cpu,ram,storage,screen_in,weight_kg,battery_wh,gtin,condition,stock,source_url,fetched_at
JBHIFI-CBL-001,jb-hifi,belkin-cab023-60w-1m,Belkin BoostCharge USB-C to USB-C 60W Cable 1m Black,Belkin,cable,19.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostcharge-usb-c-60w-2-0-pcr-cable-1m-black,2026-09-13
OFFICEWORKS-LAP-001,officeworks,hp14-cf4s5pa-n150,HP 14-inch CF4S5PA Intel N150 4GB 128GB Laptop,HP,laptop,497,AUD,Intel N150,4GB,128GB,14,,,,new,unavailable_online,https://www.officeworks.com.au/shop/officeworks/p/hp-14-cf4s5pa-n150-4-128gb-laptop-hpcf4s5pa,2026-09-13
OFFICEWORKS-PB-001,officeworks,cygnett-chargepro-20k,Cygnett ChargePro Powerbank 20000mAh Midnight,Cygnett,power bank,99,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-chargepro-powerbank-20-000mah-midnight-cychrg20mt,2026-09-13
OFFICEWORKS-PB-002,officeworks,cygnett-highpwr-27k-148w,Cygnett HighPWR 27000mAh 148W Laptop Power Bank with Case,Cygnett,power bank,199,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-highpwr-27-000mah-laptop-power-bank-cy5381pbch,2026-09-13
OFFICEWORKS-PB-003,officeworks,bonelk-20k,Bonelk Powerbank 20000mAh Black,Bonelk,power bank,55,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/bonelk-powerbank-20-000-mah-black-elk23022r,2026-09-13
OFFICEWORKS-PB-004,officeworks,samsung-eb-p4520-20k,Samsung Power Bank 20K Beige,Samsung,power bank,99,AUD,,,,,0.350,,8806095287263,new,available,https://www.officeworks.com.au/shop/officeworks/p/samsung-power-bank-20k-beige-sampb20kbg,2026-09-13
OFFICEWORKS-CBL-001,officeworks,belkin-boostcharge-pro-usbc-2m,Belkin BoostCharge Pro Braided USB-C to USB-C Cable 2m Black,Belkin,cable,29,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/belkin-boostcharge-pro-braided-usb-c-to-usb-c-cable-2m-black-belbcc2mwe,2026-09-13
BIGW-PB-004,bigw,laser-5k-aqua,Laser 5000mAh Powerbank Aqua,Laser,power bank,11.15,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-005,bigw,laser-5k-rainbow,Laser 5000mAh Powerbank Rainbow,Laser,power bank,11.15,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-006,bigw,laser-magnetic-5k-future-dusk,Laser Magnetic Powerbank 5000mAh Future Dusk,Laser,power bank,20.30,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-007,bigw,cygnett-go-20k-pink,Cygnett GO 20K Powerbank Transcendent Pink,Cygnett,power bank,59.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-008,bigw,cygnett-go-10k-black,Cygnett GO Powerbank 10K Black,Cygnett,power bank,39.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-009,bigw,cygnett-go-5k-blue,Cygnett GO Powerbank 5K Blue Amalfi,Cygnett,power bank,29.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-010,bigw,cygnett-chargeup-pro-20k,Cygnett ChargeUp Pro Series 20K Laptop Power Bank Black,Cygnett,power bank,169.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-CBL-002,bigw,usb-c-100w-1m,USB Type C 5A 100W Male Cable 1m,Generic,cable,7.80,AUD,,,,,,,,new,available,https://www.bigw.com.au/product/usb-type-c-5a-100w-male-cable-1m-cb-tc-tc-1m-100w-/p/9902568832,2026-09-13
BIGW-CBL-003,bigw,laser-usbc-60w-2pk,Laser 2m 60W USB-C to USB-C Cable 2 Pack Red Blue,Laser,cable,18.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/mobile-phone-cables/usb-c-cables/c/632410110502,2026-09-13
BIGW-CBL-004,bigw,tonic-hdmi-1-5m,Tonic HDMI Cable 1.5m Black,Tonic,cable,8,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/cables-connectors/c/6531100102,2026-09-13
BIGW-HUB-001,bigw,tonic-multi-port-usb-a-hub,Tonic Multi Port USB-A Hub,Tonic,hub,11,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/cables-connectors/c/6531100102,2026-09-13
JBHIFI-PB-003,jb-hifi,belkin-boostcharge-pro-20k-65w,Belkin BoostCharge Pro 3-Port Laptop Power Bank 20K,Belkin,power bank,159.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostcharge-pro-3-port-laptop-power-bank-20k,2026-09-13
JBHIFI-PB-004,jb-hifi,laser-30k-lifepo4-45w,Laser 30000mAh LiFePO4 45W Power Bank with Built-In Cables Black,Laser,power bank,89.95,AUD,,,,96,,,,new,available,https://www.jbhifi.com.au/products/laser-30000mah-lifepo4-45w-power-bank-with-built-in-cables-black,2026-09-13
JBHIFI-PB-005,jb-hifi,cygnett-magnetic-wireless-10k,Cygnett Magnetic Wireless 10K Power Bank Black,Cygnett,power bank,89,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/cygnett-magnetic-wireless-10k-power-bank-black,2026-09-13
JBHIFI-PB-006,jb-hifi,cygnett-boost-5k,Cygnett Boost 5K Power Bank Black,Cygnett,power bank,44.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/cygnett-boost-5k-power-bank-black,2026-09-13
JBHIFI-PB-007,jb-hifi,cygnett-30k-cable-light,Cygnett 30K Power Bank with Cable and Light,Cygnett,power bank,149.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/cygnett-30k-power-bank-with-cable-and-light,2026-09-13
JBHIFI-PB-008,jb-hifi,laser-20k-18w-led,Laser 20000mAh Powerbank 18W PD with LED Indicator Black,Laser,power bank,59.95,AUD,,,,74,,,,new,available,https://www.jbhifi.com.au/products/laser-20000mah-powerbank-18w-pd-with-led-indicator-black,2026-09-13
JBHIFI-PB-009,jb-hifi,laser-10k-led,Laser 10000mAh Power Bank with LED Display Black,Laser,power bank,49.95,AUD,,,,38,,,,new,available,https://www.jbhifi.com.au/products/laser-10000mah-power-bank-with-led-display-black,2026-09-13
JBHIFI-PB-010,jb-hifi,belkin-boostcharge-10k-integrated,Belkin BoostCharge 10K Power Bank with Integrated Cable Black,Belkin,power bank,59.95,AUD,,,,37,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostcharge-10k-power-bank-with-integrated-cable-black,2026-09-13
JBHIFI-PB-011,jb-hifi,efm-power-onthego-5k,EFM Power On-The-Go 5K USB-C Power Bank Black,EFM,power bank,49.95,AUD,,,,18.5,,,,new,unavailable_online,https://www.jbhifi.com.au/products/efm-power-on-the-go-5k-usb-c-power-bank-black,2026-09-13
JBHIFI-PB-012,jb-hifi,belkin-boostup-20k-15w,Belkin BoostUp Charge 15W 20K USB-C Power Bank Black,Belkin,power bank,79.95,AUD,,,,74,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostup-charge-15w-20k-usb-c-power-bank-20k-black,2026-09-13
JBHIFI-PB-013,jb-hifi,belkin-boostup-10k-3port,Belkin BoostUp Charge 10K 3 Port Power Bank with Cable Black,Belkin,power bank,59.95,AUD,,,,37,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostup-charge-10k-3-port-power-bank-with-cable-black,2026-09-13
JBHIFI-CBL-002,jb-hifi,belkin-cab023-60w-2m,Belkin BoostCharge USB-C Cable 60W 2m Black,Belkin,cable,24.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/belkin-boostcharge-usb-c-cable-60w-2m-black,2026-09-13
JBHIFI-CBL-003,jb-hifi,xcd-usbc-1m,XCD USB-C to USB-C Cable 1m,XCD,cable,18.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/xcd-usb-c-to-usb-c-cable-1m,2026-09-13
JBHIFI-CBL-004,jb-hifi,alogic-fusion-usbc-gen2-1m,ALOGIC Fusion USB-C Gen 2 Cable 1m,ALOGIC,cable,39,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/alogic-fusion-usb-c-gen-2-cable-1m,2026-09-13
JBHIFI-CBL-005,jb-hifi,laser-usbc-60w-0-5m,Laser 60W USB-C to USB-C Cable 0.5m Black,Laser,cable,9.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/laser-60w-usb-c-to-usb-c-cable-black-0-5m,2026-09-13
OFFICEWORKS-PB-005,officeworks,cygnett-boost-20k-gen4-black,Cygnett Boost 20K Gen4 Powerbank Black,Cygnett,power bank,79,AUD,,,,74,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-boost-20k-gen4-powerbank-black-cy4751pbbk,2026-09-13
OFFICEWORKS-PB-006,officeworks,cygnett-boost-5k-gen4-black,Cygnett Boost 5K Gen4 Powerbank Black,Cygnett,power bank,43,AUD,,,,18.5,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-boost-5k-gen4-powerbank-black-cy4743pbbk,2026-09-13
OFFICEWORKS-PB-007,officeworks,cygnett-boost-20k-gen4-green,Cygnett Boost 20K Gen4 Powerbank Green,Cygnett,power bank,79,AUD,,,,74,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-boost-20k-gen4-powerbank-green-cy4750pbgn,2026-09-13
OFFICEWORKS-PB-008,officeworks,cygnett-magslim-10k,Cygnett MagSlim 10000mAh Powerbank Black,Cygnett,power bank,89,AUD,,,,37,,,,new,unavailable_online,https://www.officeworks.com.au/shop/officeworks/p/cygnett-magslim-10-000mah-powerbank-black-cy5278pbch,2026-09-13
OFFICEWORKS-PB-009,officeworks,belkin-boost-26k,Belkin Boost 26K Power Bank Black,Belkin,power bank,89,AUD,,,,96.2,,,,new,clearance,https://www.officeworks.com.au/shop/officeworks/p/belkin-boost-26k-power-bank-black-bpb016btbk,2026-09-13
OFFICEWORKS-PB-010,officeworks,cygnett-thumboost-5k,Cygnett ThumBoost 5000mAh Powerbank Onyx Black,Cygnett,power bank,39,AUD,,,,18.5,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-thumboost-5-000mah-powerbank-onyx-black-cy5356pbch,2026-09-13
OFFICEWORKS-PB-011,officeworks,belkin-boostcharge-20k,Belkin BoostCharge 20000mAh PD Power Bank,Belkin,power bank,159,AUD,,,,74,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/belkin-boostcharge-20-000mah-pd-power-bank-bpb020btbk,2026-09-13
OFFICEWORKS-PB-012,officeworks,cygnett-boost-10k-green,Cygnett Boost 10K Gen4 Powerbank Green,Cygnett,power bank,59,AUD,,,,37,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-boost-10k-gen4-powerbank-green-cy4746pbgn,2026-09-13
OFFICEWORKS-CBL-002,officeworks,comsol-usbc-20gbps-1m,Comsol USB-C Cable 20Gbps 1m Black,Comsol,cable,39,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/comsol-usb-c-cable-20gbps-1m-black-cocc2010bk,2026-09-13
OFFICEWORKS-CBL-003,officeworks,comsol-usbc-1-2m,Comsol USB-C Cable 1.2m Black,Comsol,cable,18,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/comsol-usb-c-cable-1-2m-black-coccsf12bk,2026-09-13
OFFICEWORKS-CBL-004,officeworks,comsol-usbc-100w-1-5m,Comsol USB-C Cable 100W 1.5m Black,Comsol,cable,24,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/comsol-usb-c-cable-100w-1-5m-black-cocc5a15bk,2026-09-13
OFFICEWORKS-CBL-005,officeworks,comsol-usbc-10gbps-2m,Comsol USB-C Cable 10Gbps 2m Black,Comsol,cable,29,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/comsol-usb-c-cable-10gbps-2m-black-cocc1020bk,2026-09-13
OFFICEWORKS-CBL-006,officeworks,comsol-usbc-100w-3m,Comsol USB-C Cable 100W 3m Black,Comsol,cable,35,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/comsol-usb-c-cable-100w-3m-black-cocc5a30bk,2026-09-13
OFFICEWORKS-CBL-011,officeworks,cygnett-armoured-usbc-1m,Cygnett Armoured USB-C to USB-C Cable 1m Black,Cygnett,cable,29,AUD,,,,,,,,new,available,https://www.officeworks.com.au/shop/officeworks/p/cygnett-armoured-usb-c-to-usb-c-cable-1m-black-cycc1mbk,2026-09-13
KMART-PB-001,kmart,15000mah-20w-powerbank,15000mAh 20W Powerbank,Kmart,power bank,39,AUD,,,,55.5,,,,new,available,https://www.kmart.com.au/product/15000mah-20w-powerbank-43553013/,2026-09-13
KMART-PB-002,kmart,qi2-wireless-5k,Qi2 Wireless Powerbank 5000mAh,Kmart,power bank,39,AUD,,,,19.25,,,,new,available,https://www.kmart.com.au/product/ultra-fast-wireless-powerbank-qi2-5000mah-black-43555321/,2026-09-13
KMART-PB-003,kmart,3in1-powerbank-station,3-in-1 Powerbank Charging Station,Kmart,power bank,18,AUD,,,,,,,,new,limited_stock,https://www.kmart.com.au/product/3-in-1-powerbank-charging-station-43637492/,2026-09-13
KMART-PB-004,kmart,cygnett-chargepro-20k,Cygnett ChargePro 20K Power Bank Black,Cygnett,power bank,99.95,AUD,,,,74,,,,new,available,https://www.kmart.com.au/product/cygnett-chargepro-20k-power-bank-black-110065291/,2026-09-13
KMART-PB-005,kmart,belkin-boost-26k,Belkin Boost 26K Power Bank Black,Belkin,power bank,78.99,AUD,,,,96.2,,,,new,available,https://www.kmart.com.au/product/belkin-boost-26k-power-bank-black-110039273/,2026-09-13
KMART-PB-006,kmart,belkin-boostcharge-10k,Belkin BoostCharge 10K Powerbank Black,Belkin,power bank,59.95,AUD,,,,37,,,,new,available,https://www.kmart.com.au/product/belkin-boostcharge-10k-powerbank-black-110034910/,2026-09-13
KMART-PB-007,kmart,cygnett-boost-10k-red,Cygnett Boost 10K Gen4 Powerbank Red,Cygnett,power bank,52.70,AUD,,,,37,,,,new,available,https://www.kmart.com.au/product/cygnett-boost-10k-gen4-powerbank-red-110037764/,2026-09-13
KMART-CBL-001,kmart,usb-a-usbc-1m-black,USB-A to USB-C Cable 1m Black,Kmart,cable,9,AUD,,,,,,,,new,available,https://www.kmart.com.au/product/usb-a-to-usb-c-cable-1m-black-43721009/,2026-09-13
KMART-CBL-002,kmart,micro-usb-1m,Micro USB Cable 1m,Kmart,cable,3,AUD,,,,,,,,new,available,https://www.kmart.com.au/product/micro-usb-cable-1m-42308812/,2026-09-13
KMART-CBL-003,kmart,comsol-usba-usbc-1-2m,Comsol USB-A to USB-C USB 3.0 Cable 1.2m Black,Comsol,cable,12,AUD,,,,,,,,new,available,https://www.kmart.com.au/product/comsol-usb-a-to-usb-c-usb-3.0-cable-1.2m-black-110035635/,2026-09-13
KMART-CBL-004,kmart,usb-c-usbc-1m,USB-C to USB-C Cable 1m,Kmart,cable,9,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/mobile-phone-accessories/phone-chargers-and-cables/,2026-09-13
KMART-CBL-005,kmart,lightning-cable-1m,Lightning Charging Cable 1m,Kmart,cable,9,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/mobile-phone-accessories/phone-chargers-and-cables/,2026-09-13
KMART-CBL-006,kmart,braided-usbc-cable-2m,Braided USB-C Charging Cable 2m,Kmart,cable,12,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/mobile-phone-accessories/phone-chargers-and-cables/,2026-09-13
KMART-CBL-007,kmart,usbc-hdmi-adapter,USB-C to HDMI Adapter,Kmart,adapter,15,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-and-laptops/,2026-09-13
KMART-CBL-008,kmart,usb-3-0-cable-1m,USB 3.0 Data Cable 1m,Kmart,cable,8,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-accessories/,2026-09-13
KMART-ACC-001,kmart,wireless-mouse,Wireless Mouse,Kmart,computer accessory,15,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-accessories/,2026-09-13
KMART-ACC-002,kmart,keyboard-wireless,Wireless Keyboard,Kmart,computer accessory,19,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-accessories/,2026-09-13
KMART-ACC-003,kmart,laptop-stand,Adjustable Laptop Stand,Kmart,computer accessory,19,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-accessories/,2026-09-13
KMART-ACC-004,kmart,usb-c-hub,USB-C Multiport Hub,Kmart,hub,25,AUD,,,,,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-accessories/,2026-09-13
KMART-ACC-005,kmart,laptop-sleeve-15,Laptop Sleeve 15-inch,Kmart,laptop accessory,15,AUD,,,,15,,,,new,available,https://www.kmart.com.au/category/tech-and-gaming/computer-and-laptops/,2026-09-13
